Current, Voltage, Capacity, Cumulative_capacity, Seconds, Test_State, SOC
-4.36246,2.95023,-1.313,-266.582,07/18/2024 11:29:32.467184860,1,-13.2905
-4.35941,2.95023,-1.3121,-267.894,07/18/2024 11:29:33.550717060,1,-13.351
-4.35652,2.95023,-1.31122,-269.205,07/18/2024 11:29:34.634244360,1,-13.4115
-4.35386,2.95023,-1.31043,-270.515,07/18/2024 11:29:35.717774920,1,-13.4719
-4.35117,2.95023,-1.30961,-271.825,07/18/2024 11:29:36.801296240,1,-13.5323
-4.34859,2.95023,-1.30884,-273.134,07/18/2024 11:29:37.884828580,1,-13.5926
-4.34595,2.95023,-1.30804,-274.442,07/18/2024 11:29:38.968351540,1,-13.6529
-4.34338,2.95023,-1.30727,-275.749,07/18/2024 11:29:40.051876360,1,-13.7132
-4.3406,2.95023,-1.30645,-277.056,07/18/2024 11:29:41.135419460,1,-13.7734
-4.33785,2.95023,-1.3056,-278.361,07/18/2024 11:29:42.218939500,1,-13.8336
-4.33521,2.95023,-1.30482,-279.666,07/18/2024 11:29:43.302469720,1,-13.8938
-4.33263,2.95023,-1.30405,-280.97,07/18/2024 11:29:44.386008820,1,-13.9539
-4.33008,2.95023,-1.30326,-282.273,07/18/2024 11:29:45.469533260,1,-14.014
-4.32739,2.95023,-1.30246,-283.576,07/18/2024 11:29:46.553064380,1,-14.074
-4.3247,2.95023,-1.30174,-284.878,07/18/2024 11:29:47.636670800,1,-14.1341
-4.32221,2.95023,-1.30089,-286.178,07/18/2024 11:29:48.720196000,1,-14.194
-4.31975,2.95023,-1.30018,-287.479,07/18/2024 11:29:49.803737660,1,-14.254
-4.31717,2.95022,-1.29945,-288.778,07/18/2024 11:29:50.887320480,1,-14.3139
-4.3146,2.95023,-1.29861,-290.077,07/18/2024 11:29:51.970848260,1,-14.3738
-4.31215,2.95023,-1.29787,-291.375,07/18/2024 11:29:53.054378940,1,-14.4336
-4.30957,2.95023,-1.29708,-292.672,07/18/2024 11:29:54.137897120,1,-14.4934
-4.30695,2.95023,-1.2963,-293.968,07/18/2024 11:29:55.221421540,1,-14.5532
-4.30434,2.95023,-1.29551,-295.263,07/18/2024 11:29:56.304944200,1,-14.6129
-4.30178,2.95023,-1.29477,-296.558,07/18/2024 11:29:57.388490720,1,-14.6726
-4.29932,2.95023,-1.29402,-297.852,07/18/2024 11:29:58.472028860,1,-14.7322
-4.29672,2.95023,-1.29325,-299.145,07/18/2024 11:29:59.555575420,1,-14.7919
-4.29437,2.95022,-1.29298,-300.438,07/18/2024 11:30:00.639487200,1,-14.8515
-4.29194,2.95022,-1.29181,-301.73,07/18/2024 11:30:01.723030380,1,-14.911
-4.28951,2.95023,-1.29106,-303.021,07/18/2024 11:30:02.806563900,1,-14.9706
-4.28699,2.95022,-1.29029,-304.312,07/18/2024 11:30:03.890088280,1,-15.03
-4.28437,2.95022,-1.28951,-305.601,07/18/2024 11:30:04.973619160,1,-15.0895
-4.28182,2.95023,-1.28877,-306.89,07/18/2024 11:30:06.057167420,1,-15.1489
-4.27913,2.95023,-1.28794,-308.178,07/18/2024 11:30:07.140697980,1,-15.2083
-4.27654,2.95023,-1.28714,-309.465,07/18/2024 11:30:08.224218120,1,-15.2676
-4.27392,2.95022,-1.28645,-310.751,07/18/2024 11:30:09.307815760,1,-15.3269
-4.27122,2.95023,-1.28555,-312.037,07/18/2024 11:30:10.391344640,1,-15.3862
-4.26849,2.95023,-1.28473,-313.322,07/18/2024 11:30:11.474877280,1,-15.4454
-4.26579,2.95023,-1.28391,-314.606,07/18/2024 11:30:12.558398420,1,-15.5046
-4.26327,2.95023,-1.28315,-315.889,07/18/2024 11:30:13.641921640,1,-15.5638
-4.26057,2.95023,-1.28236,-317.171,07/18/2024 11:30:14.725462760,1,-15.6229
-4.25801,2.95023,-1.28157,-318.453,07/18/2024 11:30:15.808989500,1,-15.682
-4.25545,2.95024,-1.28081,-319.734,07/18/2024 11:30:16.892516880,1,-15.7411
-4.25295,2.95023,-1.28027,-321.014,07/18/2024 11:30:17.976232640,1,-15.8001
-4.25034,2.95023,-1.27928,-322.293,07/18/2024 11:30:19.059771500,1,-15.8591
-4.24764,2.95024,-1.27846,-323.572,07/18/2024 11:30:20.143302840,1,-15.918
-4.24497,2.95023,-1.27765,-324.849,07/18/2024 11:30:21.226828460,1,-15.9769
-4.24207,2.95023,-1.27681,-326.126,07/18/2024 11:30:22.310381840,1,-16.0358
-4.23916,2.95024,-1.2759,-327.402,07/18/2024 11:30:23.393903120,1,-16.0946
-4.23652,2.95024,-1.27509,-328.677,07/18/2024 11:30:24.477420500,1,-16.1534
-4.23405,2.95024,-1.27437,-329.951,07/18/2024 11:30:25.560957440,1,-16.2121
-4.23156,2.95024,-1.27364,-331.225,07/18/2024 11:30:26.644506500,1,-16.2709
-4.22917,2.95023,-1.27294,-332.498,07/18/2024 11:30:27.728075920,1,-16.3296
-4.22685,2.95023,-1.27222,-333.77,07/18/2024 11:30:28.811623420,1,-16.3882
-4.22455,2.95023,-1.27151,-335.042,07/18/2024 11:30:29.895158200,1,-16.4468
-4.22219,2.95023,-1.27085,-336.313,07/18/2024 11:30:30.978730560,1,-16.5054
-4.21975,2.95023,-1.27005,-337.583,07/18/2024 11:30:32.062247060,1,-16.564
-4.21728,2.95023,-1.26932,-338.852,07/18/2024 11:30:33.145778880,1,-16.6225
-4.21465,2.95023,-1.2685,-340.12,07/18/2024 11:30:34.229284560,1,-16.681
-4.21199,2.95023,-1.26772,-341.388,07/18/2024 11:30:35.312808720,1,-16.7394
-4.2093,2.95023,-1.26691,-342.655,07/18/2024 11:30:36.396331640,1,-16.7978
-4.20674,2.95023,-1.26616,-343.921,07/18/2024 11:30:37.479872120,1,-16.8562
-4.20421,2.95023,-1.26537,-345.187,07/18/2024 11:30:38.563392980,1,-16.9145
-4.20169,2.95023,-1.26464,-346.451,07/18/2024 11:30:39.646937360,1,-16.9729
-4.19906,2.95023,-1.26386,-347.715,07/18/2024 11:30:40.730484680,1,-17.0311
-4.19664,2.95023,-1.26311,-348.978,07/18/2024 11:30:41.814020580,1,-17.0894
-4.19426,2.95023,-1.2624,-350.241,07/18/2024 11:30:42.897560240,1,-17.1476
-4.19191,2.95023,-1.2617,-351.502,07/18/2024 11:30:43.981104040,1,-17.2057
-4.18952,2.95023,-1.26098,-352.763,07/18/2024 11:30:45.064647040,1,-17.2639
-4.18715,2.95022,-1.26026,-354.024,07/18/2024 11:30:46.148189480,1,-17.322
-4.18478,2.95023,-1.25951,-355.283,07/18/2024 11:30:47.231695160,1,-17.38
-4.18238,2.95023,-1.25884,-356.542,07/18/2024 11:30:48.315242720,1,-17.4381
-4.17997,2.95023,-1.25809,-357.8,07/18/2024 11:30:49.398769560,1,-17.4961
-4.17753,2.95024,-1.25737,-359.057,07/18/2024 11:30:50.482307520,1,-17.554
-4.17502,2.95023,-1.25659,-360.314,07/18/2024 11:30:51.565832640,1,-17.612
-4.17254,2.95023,-1.2559,-361.57,07/18/2024 11:30:52.649406320,1,-17.6699
-4.17006,2.95023,-1.25514,-362.825,07/18/2024 11:30:53.732968940,1,-17.7278
-4.16756,2.95022,-1.25435,-364.079,07/18/2024 11:30:54.816497300,1,-17.7856
-4.16521,2.95023,-1.25366,-365.333,07/18/2024 11:30:55.900033640,1,-17.8434
-4.16285,2.95022,-1.25296,-366.586,07/18/2024 11:30:56.983585080,1,-17.9011
-4.16048,2.95023,-1.25264,-367.839,07/18/2024 11:30:58.067477020,1,-17.9589
-4.15813,2.95022,-1.25153,-369.09,07/18/2024 11:30:59.151019140,1,-18.0166
-4.15571,2.95023,-1.2508,-370.341,07/18/2024 11:31:00.234562000,1,-18.0743
